,alt,lat,lon,ph_pitch,ph_roll,ph_yaw
0,3.32,32.9408752,35.1049937,0.0301074907184,-0.0212556123734,-2.92657923698
1,3.31,32.9408754,35.1049936,0.0300180464983,-0.0200587697327,-2.92512631416
2,3.29,32.9408754,35.1049935,0.0301138348877,-0.0213868077844,-2.9271876812
3,3.29,32.9408755,35.1049933,0.0302354991436,-0.0210359729826,-2.92699670792
4,3.31,32.9408757,35.1049931,0.0297524370253,-0.0203826837242,-2.92745518684
5,3.32,32.9408755,35.104993,0.0290877893567,-0.0209034606814,-2.92829465866
6,3.32,32.9408754,35.1049928,0.0293841101229,-0.020392768085,-2.92682504654
7,3.3,32.9408753,35.1049927,0.0291480198503,-0.0210284162313,-2.92769098282
8,3.3,32.9408753,35.1049925,0.0296381562948,-0.0201397538185,-2.92617702484
9,3.33,32.9408755,35.1049924,0.0299025699496,-0.0211232118309,-2.92656588554
10,3.32,32.9408756,35.1049923,0.0296123288572,-0.0226354822516,-2.92803573608
11,3.32,32.9408755,35.1049922,0.0292325466871,-0.0216316990554,-2.92590856552
12,3.35,32.9408754,35.1049922,0.0287781395018,-0.0217491276562,-2.92662835121
13,3.37,32.9408752,35.1049922,0.0296366661787,-0.0213320720941,-2.92602372169
14,3.419,32.9408752,35.1049923,0.0296995565295,-0.0210528448224,-2.92590069771
15,3.46,32.9408752,35.1049922,0.0298120640218,-0.0215200074017,-2.92733263969
16,3.52,32.9408752,35.104992,0.0297047533095,-0.0208684559911,-2.92623710632
17,3.53,32.9408752,35.1049918,0.0292976498604,-0.0216499008238,-2.92844128609
18,3.53,32.9408751,35.1049918,0.0294245295227,-0.0206973608583,-2.92694687843
19,3.57,32.9408751,35.1049917,0.0288202501833,-0.0210245158523,-2.92797231674
20,3.56,32.9408749,35.1049915,0.0288122072816,-0.0210460573435,-2.92766094208
21,3.53,32.9408749,35.1049912,0.0288664922118,-0.0211247205734,-2.92828273773
22,3.53,32.9408749,35.104991,0.0289639346302,-0.0206732843071,-2.92686867714
23,3.51,32.9408748,35.1049911,0.0288751348853,-0.0215609893203,-2.92785286903
24,3.54,32.9408748,35.1049911,0.0288371555507,-0.0206674672663,-2.92775797844
25,3.56,32.9408748,35.104991,0.0290583521128,-0.0201825164258,-2.92801856995
26,3.6,32.9408751,35.1049909,0.0295641236007,-0.0207036882639,-2.92816948891
27,3.639,32.9408754,35.1049909,0.0299758128822,-0.021085716784,-2.92856097221
28,3.659,32.9408758,35.1049911,0.0303815379739,-0.0209716763347,-2.92856216431
29,3.659,32.940876,35.1049913,0.0307127088308,-0.0216671060771,-2.92905020714
30,3.669,32.9408762,35.1049915,0.0306476056576,-0.0214688032866,-2.9290266037
31,3.679,32.9408763,35.1049916,0.0302479863167,-0.0218017399311,-2.92919898033
32,3.679,32.9408765,35.1049916,0.0300517827272,-0.0212943460792,-2.92958950996
